"","SHOT_NUMBER","PERIOD","GAME_CLOCK","SHOT_CLOCK","DRIBBLES","TOUCH_TIME","SHOT_RESULT","CLOSE_DEF_DIST","MINUTES_REMAINING","SECONDS_REMAINING","ACTION_TYPE","SHOT_TYPE","SHOT_ZONE_BASIC","SHOT_ZONE_AREA","SHOT_ZONE_RANGE","SHOT_DISTANCE","LOC_X","LOC_Y","DEFENDER_POSITION","DEFENDER_HEIGHT","DEFENDER_WEIGHT","DEFENDER_AGE","DEFENDER_EXPERIENCE"
"429",4,"2",393,16,2,2.2,"made",2.6,6,31,"Driving Layup Shot","2PT Field Goal","Restricted Area","Center(C)","Less Than 8 ft.",0,0,-2,"F",81,235,26,4
"430",15,"3",597,1.5,5,5.6,"missed",3.1,9,54,"Layup Shot","2PT Field Goal","Restricted Area","Center(C)","Less Than 8 ft.",1,1,17,"F",81,225,26,4
"431",10,"1",64,9.2,0,3.9,"made",4.5,1,2,"Jump Shot","2PT Field Goal","Mid-Range","Left Side Center(LC)","16-24 ft.",20,-163,121,"F",81,225,26,4
"432",21,"3",77,5,0,4.9,"made",3.4,1,14,"Jump Shot","3PT Field Goal","Above the Break 3","Left Side Center(LC)","24+ ft.",24,-182,167,"F",81,225,26,4
"433",20,"3",139,5.6,0,6.9,"made",3.9,2,17,"Jump Shot","2PT Field Goal","Mid-Range","Left Side(L)","16-24 ft.",19,-166,104,"F",81,225,26,4
"434",6,"1",320,4.1,1,5.9,"missed",2.9,5,17,"Jump Shot","2PT Field Goal","Mid-Range","Left Side Center(LC)","16-24 ft.",16,-119,118,"F",81,225,26,4
"435",14,"2",159,18,7,5.1,"made",3.5,2,38,"Layup Shot","2PT Field Goal","Restricted Area","Center(C)","Less Than 8 ft.",0,-2,9,"F",81,225,26,4
"436",24,"4",187,4.3,11,9.1,"missed",3.5,3,5,"Jump Shot","2PT Field Goal","Mid-Range","Left Side Center(LC)","16-24 ft.",17,-122,123,"F",81,225,26,4
"437",17,"3",384,12.1,9,9.1,"missed",3,6,20,"Jump Shot","2PT Field Goal","Mid-Range","Center(C)","8-16 ft.",15,43,151,"F",81,225,26,4
"438",5,"1",437,15.7,2,2.3,"made",2.8,7,15,"Fadeaway Jump Shot","2PT Field Goal","Mid-Range","Left Side(L)","8-16 ft.",14,-147,7,"F",81,225,26,4
"439",18,"3",240,4.2,1,8,"made",4.5,3,58,"Jump Shot","2PT Field Goal","Mid-Range","Right Side Center(RC)","16-24 ft.",21,146,164,"F",81,225,26,4
"440",13,"2",251,1,1,9,"missed",3.4,4,10,"Jump Shot","2PT Field Goal","Mid-Range","Left Side Center(LC)","16-24 ft.",21,-158,145,"F",81,225,26,4
"441",4,"1",482,19.9,3,2.7,"made",2.2,8,2,"Layup Shot","2PT Field Goal","Restricted Area","Center(C)","Less Than 8 ft.",2,15,19,"F",81,225,26,4
"442",3,"1",572,10.4,13,11.2,"missed",3.9,9,30,"Jump Shot","2PT Field Goal","Mid-Range","Left Side(L)","8-16 ft.",13,-123,58,"F",81,225,26,4
"443",11,"2",152,9.7,12,10.4,"made",5.4,2,30,"Jump Shot","3PT Field Goal","Above the Break 3","Center(C)","24+ ft.",24,17,249,"C",82,278,25,4
"444",19,"4",489,10.2,5,7.1,"missed",3.9,8,7,"Jump Shot","2PT Field Goal","Mid-Range","Left Side(L)","8-16 ft.",10,-103,6,"C",82,278,25,4
"445",21,"4",253,16.9,5,5.7,"missed",2.9,4,11,"Layup Shot","2PT Field Goal","Restricted Area","Center(C)","Less Than 8 ft.",2,26,-11,"C",82,278,25,4
"446",15,"2",34,21,4,3.4,"made",8.8,0,32,"Layup Shot","2PT Field Goal","Restricted Area","Center(C)","Less Than 8 ft.",1,-7,14,"G",74,180,24,4
"447",5,"2",117,11.5,0,1.7,"made",3.7,1,52,"Jump Shot","3PT Field Goal","Above the Break 3","Left Side Center(LC)","24+ ft.",26,-147,219,"F-G",79,220,27,4
"448",10,"3",234,11.6,1,0.8,"made",0.6,3,52,"Layup Shot","2PT Field Goal","Restricted Area","Center(C)","Less Than 8 ft.",1,10,1,"F-G",79,220,27,4
"449",11,"3",125,11.3,0,1.3,"missed",4.5,2,2,"Jump Shot","3PT Field Goal","Above the Break 3","Right Side Center(RC)","24+ ft.",25,100,239,"F-G",79,220,27,4
"450",12,"4",687,9.4,0,2,"made",4.1,11,24,"Jump Shot","2PT Field Goal","Mid-Range","Center(C)","16-24 ft.",20,21,208,"F-G",79,220,27,4
"451",3,"1",79,1.8,1,3.2,"missed",2.9,1,15,"Step Back Jump shot","2PT Field Goal","Mid-Range","Left Side(L)","16-24 ft.",18,-185,-2,"F-G",79,220,27,4
"452",9,"2",221,15.2,3,3.4,"missed",0.9,3,38,"Jump Shot","2PT Field Goal","In The Paint (Non-RA)","Center(C)","Less Than 8 ft.",5,-40,44,"C",84,265,26,2
"453",3,"1",447,11.6,15,12.8,"made",1.4,7,25,"Driving Layup Shot","2PT Field Goal","Restricted Area","Center(C)","Less Than 8 ft.",0,2,0,"C",84,265,26,2
"454",12,"3",584,12.4,3,2.8,"made",1,9,41,"Driving Layup Shot","2PT Field Goal","Restricted Area","Center(C)","Less Than 8 ft.",0,-7,-3,"C",84,265,26,2
"455",4,"1",281,7,3,5,"made",3.1,4,38,"Turnaround Fadeaway shot","2PT Field Goal","Mid-Range","Right Side(R)","8-16 ft.",15,155,26,"G-F",79,215,27,4
"456",2,"1",621,16,6,5,"made",2.3,10,18,"Driving Layup Shot","2PT Field Goal","Restricted Area","Center(C)","Less Than 8 ft.",1,0,11,"G-F",79,215,27,4
"457",9,"2",144,5.3,1,2.8,"made",3.9,2,21,"Jump Shot","2PT Field Goal","Mid-Range","Right Side(R)","8-16 ft.",15,155,7,"G-F",79,215,27,4
"458",17,"4",294,14.1,11,9.9,"missed",3.5,4,51,"Driving Layup Shot","2PT Field Goal","Restricted Area","Center(C)","Less Than 8 ft.",1,12,-5,"G-F",79,215,27,4
"459",6,"1",108,9.9,3,4,"missed",3.5,1,45,"Jump Shot","2PT Field Goal","In The Paint (Non-RA)","Center(C)","8-16 ft.",12,-7,127,"G-F",79,215,27,4
"460",12,"3",452,10.3,0,1.2,"made",4.4,7,29,"Jump Shot","3PT Field Goal","Above the Break 3","Left Side Center(LC)","24+ ft.",25,-81,241,"G-F",79,215,27,4
"461",20,"4",171,14.5,6,6.5,"missed",5.2,2,48,"Running Jump Shot","2PT Field Goal","In The Paint (Non-RA)","Right Side(R)","8-16 ft.",8,45,69,"G-F",79,215,27,4
"462",19,"4",187,3.3,0,4.1,"missed",4.9,3,4,"Jump Shot","3PT Field Goal","Above the Break 3","Center(C)","24+ ft.",25,2,255,"G-F",79,215,27,4
"463",18,"4",288,19.9,0,1.1,"missed",4.1,4,45,"Jump Shot","3PT Field Goal","Right Corner 3","Right Side(R)","24+ ft.",24,241,0,"G-F",79,215,27,4
"464",6,"2",340,13.9,11,8.8,"made",4,5,38,"Jump Shot","2PT Field Goal","Mid-Range","Center(C)","16-24 ft.",21,53,205,"G",77,230,24,4
"465",8,"2",82,2.6,2,6.8,"made",3.2,1,20,"Jump Shot","2PT Field Goal","Mid-Range","Right Side Center(RC)","16-24 ft.",20,67,190,"G",77,230,24,4
"466",15,"4",694,16.6,8,6,"missed",2.3,11,32,"Jump Shot","2PT Field Goal","Restricted Area","Center(C)","Less Than 8 ft.",3,12,37,"C",84,253,28,1
"467",7,"2",368,19.9,2,2.4,"missed",3.6,6,6,"Layup Shot","2PT Field Goal","Restricted Area","Center(C)","Less Than 8 ft.",0,1,1,"C",84,253,28,1
"468",2,"1",594,12.1,1,1,"made",3.5,9,51,"Driving Layup Shot","2PT Field Goal","Restricted Area","Center(C)","Less Than 8 ft.",1,6,11,"G",75,205,27,3
"469",9,"3",626,2.6,1,1.9,"missed",6.9,10,24,"Jump Shot","3PT Field Goal","Above the Break 3","Left Side Center(LC)","24+ ft.",24,-190,153,"C",85,250,28,4
"470",3,"2",341,7.9,1,3.1,"missed",6.5,5,39,"Jump Shot","3PT Field Goal","Above the Break 3","Left Side Center(LC)","24+ ft.",25,-120,227,"C",85,250,28,4
"471",4,"2",313,5,7,6.4,"missed",5,5,11,"Jump Shot","2PT Field Goal","Mid-Range","Left Side(L)","16-24 ft.",20,-183,94,"C",85,250,28,4
"472",4,"1",448,14.4,11,6.7,"missed",5.5,7,26,"Jump Shot","2PT Field Goal","Mid-Range","Right Side(R)","8-16 ft.",13,122,45,"C",85,250,28,4
"473",6,"2",172,7.1,12,13.6,"missed",2.6,2,51,"Driving Layup Shot","2PT Field Goal","Restricted Area","Center(C)","Less Than 8 ft.",1,-10,0,"C",85,250,28,4
"474",10,"3",492,11.9,2,2.1,"made",4.7,8,8,"Jump Shot","3PT Field Goal","Above the Break 3","Center(C)","24+ ft.",26,4,260,"C",85,250,28,4
"475",7,"2",122,21.2,0,0.8,"made",3.8,2,0,"Layup Shot","2PT Field Goal","Restricted Area","Center(C)","Less Than 8 ft.",0,1,6,"G",76,210,30,4
"476",19,"4",559,13,11,8.5,"missed",3,7,37,"Jump Shot","3PT Field Goal","Above the Break 3","Right Side Center(RC)","24+ ft.",25,110,230,"G",75,200,26,4
"477",18,"4",572,7.6,15,16.3,"missed",3.9,9,16,"Jump Shot","2PT Field Goal","Mid-Range","Left Side(L)","16-24 ft.",18,-177,52,"G",75,200,26,4
"478",10,"2",112,9,2,2.8,"missed",4.3,1,51,"Driving Layup Shot","2PT Field Goal","Restricted Area","Center(C)","Less Than 8 ft.",1,-15,1,"F",80,225,27,3
"479",14,"3",371,4,0,3,"missed",4.3,6,8,"Jump Shot","3PT Field Goal","Left Corner 3","Left Side(L)","24+ ft.",23,-234,19,"F",80,225,27,3
"480",2,"1",628,14.4,0,0.7,"made",0.9,10,27,"Layup Shot","2PT Field Goal","Restricted Area","Center(C)","Less Than 8 ft.",0,-5,-8,"F",80,225,27,3
"481",11,"3",54,12.1,13,12.1,"missed",4.1,0,50,"Jump Shot","2PT Field Goal","Mid-Range","Left Side Center(LC)","16-24 ft.",16,-70,151,"F",80,240,24,3
"482",12,"3",32,13.4,1,5,"made",4,0,30,"Step Back Jump shot","2PT Field Goal","Mid-Range","Left Side(L)","8-16 ft.",12,-120,48,"F",80,240,24,3
"483",15,"4",286,9.5,2,3.7,"made",5.4,4,43,"Jump Shot","2PT Field Goal","Mid-Range","Left Side Center(LC)","16-24 ft.",16,-87,146,"C",83,245,23,3
"484",6,"2",283,20.9,3,2.6,"made",3.9,4,40,"Running Jump Shot","2PT Field Goal","Restricted Area","Center(C)","Less Than 8 ft.",3,-2,36,"C",83,245,23,3
"485",1,"1",493,19.2,2,2.2,"made",0,8,9,"Layup Shot","2PT Field Goal","Restricted Area","Center(C)","Less Than 8 ft.",0,-5,-8,"C",83,245,23,3
"486",14,"4",389,1.3,8,6.5,"missed",4.2,6,25,"Running Jump Shot","2PT Field Goal","In The Paint (Non-RA)","Center(C)","Less Than 8 ft.",5,-7,56,"C",83,245,23,3
"487",9,"2",34,13.8,12,10.1,"missed",2.5,0,31,"Jump Shot","2PT Field Goal","Restricted Area","Center(C)","Less Than 8 ft.",3,-35,15,"C",83,245,23,3
"488",2,"1",368,15.2,8,7.9,"missed",2.5,6,6,"Driving Layup Shot","2PT Field Goal","Restricted Area","Center(C)","Less Than 8 ft.",3,-35,8,"C",84,255,23,2
"489",16,"4",56,1.5,22,21.7,"made",4.2,0,55,"Driving Layup Shot","2PT Field Goal","Restricted Area","Center(C)","Less Than 8 ft.",2,24,0,"C",84,255,23,2
"490",11,"3",46,17,8,7,"made",4.1,0,43,"Jump Shot","2PT Field Goal","In The Paint (Non-RA)","Center(C)","Less Than 8 ft.",7,-26,74,"C",84,255,23,2
"491",9,"3",122,21.3,0,1,"missed",7.5,1,58,"Jump Shot","3PT Field Goal","Left Corner 3","Left Side(L)","24+ ft.",23,-235,6,"C",84,255,23,2
"492",14,"3",470,18,0,1,"missed",5.2,7,46,"Jump Shot","3PT Field Goal","Above the Break 3","Center(C)","24+ ft.",30,7,301,"G",79,215,25,3
"493",15,"3",454,19.9,5,4.5,"missed",2,7,31,"Layup Shot","2PT Field Goal","Restricted Area","Center(C)","Less Than 8 ft.",1,9,14,"G",79,215,25,3
"494",16,"3",410,7.1,2,5.2,"made",3.3,6,47,"Fadeaway Jump Shot","2PT Field Goal","Mid-Range","Center(C)","8-16 ft.",15,-4,156,"G",79,215,25,3
"495",13,"3",483,17.3,5,5.8,"made",3,7,59,"Jump Shot","3PT Field Goal","Above the Break 3","Left Side Center(LC)","24+ ft.",24,-163,187,"G",79,215,25,3
"496",16,"4",115,2.9,1,8,"missed",4.8,1,53,"Jump Shot","3PT Field Goal","Above the Break 3","Left Side Center(LC)","24+ ft.",25,-205,157,"G",78,211,23,3
"497",10,"3",556,6.1,1,2.4,"made",4.3,9,13,"Jump Shot","3PT Field Goal","Above the Break 3","Left Side Center(LC)","24+ ft.",24,-116,214,"G",78,211,23,3
"498",12,"3",180,4.1,0,1.3,"made",4.3,2,57,"Jump Shot","3PT Field Goal","Above the Break 3","Right Side Center(RC)","24+ ft.",24,166,181,"G",78,211,23,3
"499",4,"1",124,15.2,10,9.1,"made",2,2,1,"Running Jump Shot","2PT Field Goal","In The Paint (Non-RA)","Center(C)","8-16 ft.",9,-26,96,"G",78,211,23,3
"500",6,"1",94,8.3,0,2,"missed",3.3,1,32,"Jump Shot","3PT Field Goal","Above the Break 3","Center(C)","24+ ft.",25,-56,244,"F",81,235,25,3
"501",5,"1",131,1.5,0,0.9,"made",4.1,2,8,"Turnaround Jump Shot","3PT Field Goal","Above the Break 3","Left Side Center(LC)","24+ ft.",25,-213,137,"F",81,235,25,3
"502",17,"4",71,12,14,11.5,"made",1.6,1,9,"Driving Layup Shot","2PT Field Goal","Restricted Area","Center(C)","Less Than 8 ft.",0,-5,7,"F",79,230,24,3
"503",6,"2",488,0.2,5,9.6,"missed",1.1,8,5,"Running Jump Shot","2PT Field Goal","Mid-Range","Right Side Center(RC)","16-24 ft.",18,99,159,"F",79,230,24,3
"504",12,"3",278,7.4,19,17.1,"missed",5,4,35,"Step Back Jump shot","2PT Field Goal","Mid-Range","Left Side(L)","8-16 ft.",15,-147,48,"F",79,230,24,3
"505",7,"2",439,8.1,0,3.4,"missed",4.9,7,16,"Jump Shot","2PT Field Goal","Mid-Range","Left Side(L)","16-24 ft.",17,-152,91,"F",79,230,24,3
"506",1,"1",576,14.7,1,3,"made",5.9,9,34,"Jump Shot","3PT Field Goal","Above the Break 3","Center(C)","24+ ft.",25,64,250,"F",79,230,24,3
"507",2,"1",470,9.7,3,4.3,"missed",4.5,7,47,"Turnaround Jump Shot","2PT Field Goal","Mid-Range","Left Side(L)","8-16 ft.",14,-139,33,"F",79,230,24,3
"508",3,"1",450,19.1,6,6.2,"made",4.1,7,28,"Jump Shot","3PT Field Goal","Above the Break 3","Right Side Center(RC)","24+ ft.",25,144,209,"F",79,230,24,3
"509",9,"2",245,7.8,2,4.6,"made",3.3,4,4,"Driving Layup Shot","2PT Field Goal","Restricted Area","Center(C)","Less Than 8 ft.",1,-10,4,"F",79,230,24,3
"510",16,"4",277,9,16,14.7,"made",3.3,4,36,"Jump Shot","2PT Field Goal","In The Paint (Non-RA)","Center(C)","Less Than 8 ft.",6,-46,42,"C",84,260,24,3
"511",17,"4",83,7.8,0,3.7,"missed",4.9,1,21,"Jump Shot","3PT Field Goal","Above the Break 3","Right Side Center(RC)","24+ ft.",26,165,203,"G",77,220,25,3
"512",14,"4",277,22,0,0.7,"made",3.6,4,34,"Layup Shot","2PT Field Goal","Restricted Area","Center(C)","Less Than 8 ft.",0,-8,3,"G",77,220,25,3
"513",13,"4",452,8,0,1.7,"missed",4.5,7,28,"Jump Shot","3PT Field Goal","Above the Break 3","Left Side Center(LC)","24+ ft.",26,-127,230,"G",77,220,25,3
"514",2,"1",605,12.8,1,1.3,"made",1.9,10,4,"Layup Shot","2PT Field Goal","Restricted Area","Center(C)","Less Than 8 ft.",0,-5,6,"G",77,220,25,3
"515",10,"3",416,2.1,0,1,"made",4.5,6,54,"Jump Shot","3PT Field Goal","Above the Break 3","Center(C)","24+ ft.",25,26,249,"G",77,220,25,3
"516",10,"3",481,17,0,0.8,"missed",6.8,7,58,"Jump Shot","3PT Field Goal","Above the Break 3","Right Side Center(RC)","24+ ft.",25,127,225,"G",77,220,25,3
"517",7,"2",165,10.1,4,5.4,"missed",2.3,2,43,"Layup Shot","2PT Field Goal","Restricted Area","Center(C)","Less Than 8 ft.",2,10,22,"G",77,220,25,3
"518",9,"3",504,4.7,1,2.8,"missed",7.2,8,22,"Jump Shot","3PT Field Goal","Above the Break 3","Left Side Center(LC)","24+ ft.",26,-141,220,"G",77,220,25,3
"519",19,"4",97,2.5,0,2.3,"missed",3.9,1,34,"Jump Shot","3PT Field Goal","Above the Break 3","Center(C)","24+ ft.",30,-16,306,"F",81,235,22,3
"520",8,"2",334,14.8,0,0.6,"missed",1.2,5,32,"Layup Shot","2PT Field Goal","Restricted Area","Center(C)","Less Than 8 ft.",2,-21,12,"F",81,235,22,3
"521",17,"4",211,12.5,11,11.1,"made",4.1,3,27,"Fadeaway Jump Shot","2PT Field Goal","Mid-Range","Right Side Center(RC)","16-24 ft.",17,106,138,"F",81,235,22,3
"522",7,"2",367,9.3,2,2.9,"missed",1.9,6,5,"Layup Shot","2PT Field Goal","Restricted Area","Center(C)","Less Than 8 ft.",1,-5,19,"F",81,235,22,3
"523",1,"1",636,5.1,0,6.2,"made",3.9,10,34,"Jump Shot","2PT Field Goal","Mid-Range","Left Side(L)","16-24 ft.",16,-155,48,"F",81,235,22,3
"524",11,"3",347,5,4,5.8,"missed",4.1,5,43,"Jump Shot","3PT Field Goal","Above the Break 3","Left Side Center(LC)","24+ ft.",26,-174,200,"F",81,235,22,3
"525",18,"4",168,3.8,23,20.9,"missed",1.9,2,45,"Jump Shot","2PT Field Goal","In The Paint (Non-RA)","Center(C)","Less Than 8 ft.",7,69,12,"F",81,235,22,3
"526",4,"1",344,5,2,2.7,"missed",1.8,5,42,"Jump Shot","2PT Field Goal","Mid-Range","Left Side(L)","8-16 ft.",13,-130,31,"F",81,235,22,3
"527",3,"1",505,5.8,1,7.8,"missed",3.7,8,22,"Jump Shot","2PT Field Goal","Mid-Range","Right Side(R)","16-24 ft.",17,166,66,"F",81,235,22,3
"528",15,"4",442,13.4,3,3.4,"made",5.3,7,19,"Fadeaway Jump Shot","2PT Field Goal","Mid-Range","Right Side Center(RC)","16-24 ft.",18,138,124,"F",81,235,22,3
"529",18,"3",364,15.3,7,7.9,"missed",7.1,6,2,"Step Back Jump shot","3PT Field Goal","Above the Break 3","Right Side Center(RC)","24+ ft.",24,154,195,"FC",84,255,24,2
"530",25,"4",374,7.8,6,8.7,"made",4,6,11,"Fadeaway Jump Shot","2PT Field Goal","Mid-Range","Right Side Center(RC)","16-24 ft.",18,143,113,"FC",84,255,24,2
"531",1,"1",535,14,0,1.2,"missed",7.3,8,51,"Jump Shot","3PT Field Goal","Right Corner 3","Right Side(R)","24+ ft.",24,241,0,"F",80,228,25,3
"532",14,"4",188,5.5,12,10.8,"made",4.3,3,4,"Jump Shot","3PT Field Goal","Above the Break 3","Right Side Center(RC)","24+ ft.",26,84,254,"G",75,208,25,3
"533",1,"1",672,18,2,4.1,"made",2.2,11,8,"Layup Shot","2PT Field Goal","Restricted Area","Center(C)","Less Than 8 ft.",0,0,7,"G",75,208,25,3
"534",16,"3",261,9.3,17,14.5,"made",3.7,4,18,"Fadeaway Jump Shot","2PT Field Goal","Mid-Range","Left Side(L)","8-16 ft.",14,-133,50,"G-F",79,220,25,3
"535",2,"1",448,10.4,0,0.9,"missed",3.5,7,26,"Step Back Jump shot","2PT Field Goal","Mid-Range","Right Side(R)","8-16 ft.",12,102,67,"G-F",79,220,25,3
"536",23,"4",351,3.8,0,0,"made",2.9,5,48,"Jump Shot","2PT Field Goal","Mid-Range","Right Side(R)","8-16 ft.",13,133,-30,"G-F",79,220,25,3
"537",22,"4",352,3.8,11,11.2,"missed",3.1,5,51,"Jump Shot","2PT Field Goal","Mid-Range","Right Side(R)","8-16 ft.",11,108,25,"G-F",79,220,25,3
"538",7,"2",491,10.5,1,3.6,"made",1.3,8,8,"Fadeaway Jump Shot","2PT Field Goal","In The Paint (Non-RA)","Left Side(L)","8-16 ft.",9,-70,63,"G-F",79,220,25,3
"539",6,"2",612,17,8,6.6,"made",1.8,10,10,"Layup Shot","2PT Field Goal","Restricted Area","Center(C)","Less Than 8 ft.",1,-2,-11,"G-F",79,220,25,3
"540",9,"2",286,19.1,4,4.5,"missed",5,4,42,"Jump Shot","3PT Field Goal","Above the Break 3","Left Side Center(LC)","24+ ft.",24,-79,235,"G-F",79,220,25,3
"541",5,"1",39,10.7,13,13.1,"missed",5,0,36,"Layup Shot","2PT Field Goal","Restricted Area","Center(C)","Less Than 8 ft.",0,1,-2,"G-F",79,220,25,3
"542",15,"3",452,3.1,8,12.3,"made",3.6,7,28,"Jump Shot","2PT Field Goal","Mid-Range","Left Side Center(LC)","16-24 ft.",21,-142,164,"G-F",79,220,25,3
"543",11,"2",168,19.1,0,1.6,"made",3.4,2,47,"Layup Shot","2PT Field Goal","Restricted Area","Center(C)","Less Than 8 ft.",0,-2,1,"G-F",79,220,25,3
"544",8,"2",317,6.7,19,16.8,"missed",4.7,5,14,"Jump Shot","2PT Field Goal","Mid-Range","Right Side(R)","16-24 ft.",16,135,96,"G-F",79,220,25,3
"545",3,"1",463,6.2,6,7.9,"missed",3.8,7,40,"Fadeaway Jump Shot","2PT Field Goal","In The Paint (Non-RA)","Center(C)","Less Than 8 ft.",7,78,4,"F",80,228,27,2
"546",16,"3",550,17.2,0,1.4,"missed",7.8,9,7,"Jump Shot","3PT Field Goal","Above the Break 3","Left Side Center(LC)","24+ ft.",27,-122,242,"F",80,228,27,2
"547",13,"3",617,1.3,6,6,"missed",3.4,10,14,"Fadeaway Jump Shot","2PT Field Goal","Mid-Range","Left Side(L)","16-24 ft.",20,-199,58,"F",80,228,27,2
"548",1,"1",623,10.7,2,1.8,"missed",1.8,10,19,"Driving Layup Shot","2PT Field Goal","Restricted Area","Center(C)","Less Than 8 ft.",0,1,3,"F",80,228,27,2
"549",12,"2",225,6.2,2,3.1,"missed",2.2,3,42,"Jump Shot","2PT Field Goal","In The Paint (Non-RA)","Center(C)","Less Than 8 ft.",6,-57,20,"F",80,228,27,2
"550",4,"1",377,10.8,5,6,"missed",0.9,6,14,"Running Jump Shot","2PT Field Goal","In The Paint (Non-RA)","Center(C)","Less Than 8 ft.",5,-51,15,"F",80,228,27,2
"551",1,"1",635,14.6,2,5.4,"missed",2.6,10,33,"Jump Shot","2PT Field Goal","In The Paint (Non-RA)","Center(C)","Less Than 8 ft.",6,-56,30,"F",80,228,27,2
"552",4,"1",259,7.9,0,2.1,"made",4.4,4,15,"Jump Shot","3PT Field Goal","Above the Break 3","Left Side Center(LC)","24+ ft.",26,-193,183,"F",80,228,27,2
"553",16,"3",315,13.7,3,8.2,"missed",4.3,5,12,"Jump Shot","2PT Field Goal","In The Paint (Non-RA)","Center(C)","8-16 ft.",8,31,82,"F",80,228,27,2
"554",12,"3",681,7.2,1,4.2,"missed",4,11,18,"Jump Shot","2PT Field Goal","Mid-Range","Left Side(L)","8-16 ft.",13,-116,71,"F",80,228,27,2
"555",13,"2",137,20.5,0,1,"missed",2.8,2,14,"Layup Shot","2PT Field Goal","Restricted Area","Center(C)","Less Than 8 ft.",0,-8,3,"F",80,228,27,2
"556",2,"1",502,8.2,1,5.2,"made",4.3,8,18,"Jump Shot","2PT Field Goal","Mid-Range","Right Side(R)","8-16 ft.",15,133,82,"F",80,228,27,2
"557",4,"1",196,16,0,0.8,"missed",2.7,3,12,"Fadeaway Jump Shot","2PT Field Goal","Mid-Range","Left Side(L)","8-16 ft.",13,-127,45,"FC",81,255,26,3
"558",4,"1",114,7.6,0,8.8,"missed",3.4,1,50,"Jump Shot","3PT Field Goal","Above the Break 3","Left Side Center(LC)","24+ ft.",25,-213,142,"G",76,191,26,3
"559",8,"2",71,21.2,4,3.9,"made",3.5,1,9,"Layup Shot","2PT Field Goal","Restricted Area","Center(C)","Less Than 8 ft.",1,-10,9,"G",69,185,26,3
"560",10,"3",567,20.4,5,3.5,"made",3,9,25,"Layup Shot","2PT Field Goal","Restricted Area","Center(C)","Less Than 8 ft.",0,-4,-5,"FC",82,220,22,2
"561",1,"1",664,14,2,2.8,"missed",2.1,11,0,"Layup Shot","2PT Field Goal","Restricted Area","Center(C)","Less Than 8 ft.",2,-16,15,"F",79,232,21,2
"562",2,"1",515,6.7,2,2.6,"missed",3.8,8,31,"Jump Shot","3PT Field Goal","Above the Break 3","Center(C)","24+ ft.",24,-45,242,"F",79,232,21,2
"563",17,"4",209,6.6,2,9.4,"missed",2.8,3,26,"Turnaround Fadeaway shot","2PT Field Goal","Mid-Range","Right Side(R)","8-16 ft.",14,95,112,"F",79,232,21,2
"564",14,"3",367,12.4,0,2.6,"missed",3.8,6,3,"Jump Shot","2PT Field Goal","Mid-Range","Right Side(R)","16-24 ft.",16,146,77,"F",79,232,21,2
"565",13,"3",391,11.9,0,1.8,"missed",2.5,6,28,"Jump Shot","3PT Field Goal","Above the Break 3","Left Side Center(LC)","24+ ft.",25,-157,205,"F",79,232,21,2
"566",15,"3",206,13,0,1,"missed",0.7,3,22,"Layup Shot","2PT Field Goal","Restricted Area","Center(C)","Less Than 8 ft.",0,-5,4,"F",79,232,21,2
"567",19,"4",25,6,3,8.7,"made",4.5,0,22,"Jump Shot","3PT Field Goal","Above the Break 3","Center(C)","24+ ft.",25,18,257,"F",79,232,21,2
"568",12,"3",462,21.4,2,2.2,"made",2.3,7,38,"Jump Shot","3PT Field Goal","Above the Break 3","Left Side Center(LC)","24+ ft.",24,-112,219,"F",79,232,21,2
"569",18,"4",54,8.2,1,3.1,"made",4.5,0,52,"Step Back Jump shot","2PT Field Goal","Mid-Range","Left Side(L)","8-16 ft.",15,-146,60,"F",79,232,21,2
"570",9,"1",102,15.1,9,9.5,"missed",0.4,1,39,"Jump Shot","2PT Field Goal","In The Paint (Non-RA)","Center(C)","Less Than 8 ft.",7,53,47,"G",77,207,22,2
"571",20,"4",585,9.1,16,15,"made",4.3,9,41,"Jump Shot","3PT Field Goal","Above the Break 3","Left Side Center(LC)","24+ ft.",25,-109,236,"G",76,225,23,2
"572",12,"2",451,4.5,2,3.6,"missed",5.3,7,28,"Fadeaway Jump Shot","2PT Field Goal","In The Paint (Non-RA)","Center(C)","Less Than 8 ft.",7,-10,75,"G",76,225,23,2
"573",2,"1",472,5.8,1,3.6,"made",1.9,7,50,"Driving Layup Shot","2PT Field Goal","Restricted Area","Center(C)","Less Than 8 ft.",2,13,17,"F-G",79,195,24,2
"574",11,"3",448,15.3,9,7.1,"missed",2.5,7,25,"Driving Layup Shot","2PT Field Goal","Restricted Area","Center(C)","Less Than 8 ft.",2,-18,14,"F-G",79,195,24,2
"575",7,"3",656,3.2,2,3.4,"missed",6,10,53,"Jump Shot","3PT Field Goal","Above the Break 3","Center(C)","24+ ft.",25,-45,246,"F-G",79,195,24,2
"576",1,"1",584,1.2,5,5.8,"missed",3.7,9,41,"Turnaround Jump Shot","2PT Field Goal","Mid-Range","Left Side(L)","16-24 ft.",19,-191,-8,"F-G",79,195,24,2
"577",10,"3",535,10.7,4,4,"made",4.7,8,52,"Jump Shot","2PT Field Goal","Mid-Range","Left Side(L)","8-16 ft.",12,-89,89,"F-G",79,195,24,2
"578",14,"4",250,2,0,4.3,"made",4.2,4,8,"Jump Shot","3PT Field Goal","Above the Break 3","Right Side Center(RC)","24+ ft.",25,198,160,"F-G",79,195,24,2
