"","SHOT_NUMBER","PERIOD","GAME_CLOCK","SHOT_CLOCK","DRIBBLES","TOUCH_TIME","SHOT_RESULT","CLOSE_DEF_DIST","MINUTES_REMAINING","SECONDS_REMAINING","ACTION_TYPE","SHOT_TYPE","SHOT_ZONE_BASIC","SHOT_ZONE_AREA","SHOT_ZONE_RANGE","SHOT_DISTANCE","LOC_X","LOC_Y","DEFENDER_POSITION","DEFENDER_HEIGHT","DEFENDER_WEIGHT","DEFENDER_AGE","DEFENDER_EXPERIENCE"
"320",11,"1",31,18,9,5.9,"made",4.6,0,31,"Layup Shot","2PT Field Goal","Restricted Area","Center(C)","Less Than 8 ft.",2,-18,9,"G-F",78,220,25,5
"321",3,"1",588,7.2,0,1,"missed",4.3,9,46,"Jump Shot","3PT Field Goal","Above the Break 3","Right Side Center(RC)","24+ ft.",26,220,140,"G-F",78,220,25,5
"322",1,"1",683,19.6,5,4.8,"missed",2.2,11,18,"Layup Shot","2PT Field Goal","Restricted Area","Center(C)","Less Than 8 ft.",2,-16,20,"G-F",78,220,25,5
"323",7,"2",104,18.5,7,6.2,"missed",1.1,1,41,"Driving Layup Shot","2PT Field Goal","Restricted Area","Center(C)","Less Than 8 ft.",1,-2,12,"G-F",78,220,25,5
"324",8,"3",658,7.9,3,2.9,"made",1.6,10,56,"Running Jump Shot","2PT Field Goal","In The Paint (Non-RA)","Right Side(R)","8-16 ft.",8,69,45,"G-F",78,220,25,5
"325",5,"2",511,13,6,6.9,"made",4.5,8,29,"Running Jump Shot","2PT Field Goal","In The Paint (Non-RA)","Center(C)","Less Than 8 ft.",5,-24,44,"C",82,235,27,5
"326",21,"4",174,6.5,13,18.2,"missed",3.3,1,29,"Jump Shot","2PT Field Goal","Mid-Range","Left Side(L)","8-16 ft.",9,-92,14,"C",82,235,27,5
"327",3,"1",407,20.6,0,0.9,"made",6.9,6,43,"Jump Shot","3PT Field Goal","Above the Break 3","Left Side Center(LC)","24+ ft.",25,-128,222,"G",79,220,25,5
"328",6,"2",192,8.8,0,0.9,"missed",3.4,3,9,"Jump Shot","3PT Field Goal","Left Corner 3","Left Side(L)","24+ ft.",23,-231,-3,"G",79,220,25,5
"329",8,"3",474,14.4,0,7,"missed",2.6,7,51,"Jump Shot","3PT Field Goal","Right Corner 3","Right Side(R)","24+ ft.",22,228,1,"G",79,220,25,5
"330",10,"3",92,1.4,1,2.6,"made",4.7,1,29,"Turnaround Fadeaway shot","2PT Field Goal","Mid-Range","Left Side(L)","8-16 ft.",14,-149,11,"G",79,220,25,5
"331",4,"2",502,6,4,6.2,"missed",2,8,19,"Layup Shot","2PT Field Goal","Restricted Area","Center(C)","Less Than 8 ft.",1,-18,4,"G-F",77,215,27,5
"332",11,"3",215,19,4,4,"made",4.9,3,33,"Jump Shot","2PT Field Goal","Mid-Range","Center(C)","8-16 ft.",15,-26,149,"G-F",77,215,27,5
"333",12,"3",154,10.3,1,5.9,"missed",3.7,2,31,"Step Back Jump shot","2PT Field Goal","Mid-Range","Left Side(L)","16-24 ft.",18,-168,72,"G-F",77,215,27,5
"334",2,"1",87,1.9,1,4,"made",3.2,1,22,"Jump Shot","3PT Field Goal","Above the Break 3","Center(C)","24+ ft.",25,-26,257,"G-F",77,215,27,5
"335",3,"2",533,1.2,1,4.2,"missed",3.6,8,50,"Turnaround Fadeaway shot","2PT Field Goal","Mid-Range","Left Side(L)","16-24 ft.",16,-168,11,"G-F",77,215,27,5
"336",16,"4",431,11,14,12.2,"missed",6.3,7,8,"Jump Shot","2PT Field Goal","Mid-Range","Center(C)","16-24 ft.",21,28,211,"G-F",77,215,27,5
"337",15,"4",466,6.3,1,6.1,"made",4,7,42,"Jump Shot","2PT Field Goal","Mid-Range","Left Side(L)","8-16 ft.",15,-152,31,"G-F",77,215,27,5
"338",11,"3",685,22.8,0,0.7,"made",3.5,11,20,"Jump Shot","3PT Field Goal","Right Corner 3","Right Side(R)","24+ ft.",22,225,-5,"G-F",77,215,27,5
"339",13,"3",101,17.7,0,0.8,"made",5.1,1,38,"Jump Shot","3PT Field Goal","Right Corner 3","Right Side(R)","24+ ft.",23,239,6,"F",81,250,28,5
"340",1,"1",549,13.7,9,9.5,"missed",0.8,9,7,"Turnaround Jump Shot","2PT Field Goal","Mid-Range","Left Side(L)","8-16 ft.",9,-89,45,"F",81,250,28,5
"341",7,"2",68,3.1,0,1.5,"missed",6,1,6,"Step Back Jump shot","2PT Field Goal","Mid-Range","Right Side(R)","16-24 ft.",20,174,101,"F",81,250,28,5
"342",15,"4",705,8.6,2,6.7,"missed",4.2,11,42,"Step Back Jump shot","2PT Field Goal","Mid-Range","Left Side(L)","8-16 ft.",13,-131,34,"F",81,250,28,5
"343",5,"2",617,20.8,2,2.7,"made",3.5,10,15,"Driving Layup Shot","2PT Field Goal","Restricted Area","Center(C)","Less Than 8 ft.",2,17,15,"F",81,250,28,5
"344",21,"4",50,3,0,0.8,"made",6.3,0,48,"Jump Shot","3PT Field Goal","Above the Break 3","Center(C)","24+ ft.",26,-5,260,"F",81,250,28,5
"345",3,"1",6,4.4,18,17.2,"missed",2.3,0,4,"Driving Layup Shot","2PT Field Goal","Restricted Area","Center(C)","Less Than 8 ft.",2,26,11,"F",81,250,28,5
"346",5,"2",208,16.3,7,7.6,"missed",4.7,3,25,"Jump Shot","3PT Field Goal","Right Corner 3","Right Side(R)","24+ ft.",24,228,82,"F",81,250,28,5
"347",8,"2",196,15,0,1,"missed",9,3,13,"Jump Shot","3PT Field Goal","Above the Break 3","Right Side Center(RC)","24+ ft.",25,211,137,"F",81,250,28,5
"348",2,"1",212,4.5,3,3.6,"missed",4.6,3,30,"Step Back Jump shot","2PT Field Goal","Mid-Range","Center(C)","16-24 ft.",20,-2,205,"F",81,250,28,5
"349",15,"4",390,12,0,0.8,"made",0.4,6,28,"Jump Shot","2PT Field Goal","Restricted Area","Center(C)","Less Than 8 ft.",3,-34,0,"F",81,250,28,5
"350",18,"4",178,4.9,19,17.2,"missed",4,2,56,"Driving Layup Shot","2PT Field Goal","Restricted Area","Center(C)","Less Than 8 ft.",3,-37,1,"F",81,250,28,5
"351",6,"2",115,3.9,0,0,"made",2,1,54,"Driving Layup Shot","2PT Field Goal","Restricted Area","Center(C)","Less Than 8 ft.",2,24,14,"F",81,250,28,5
"352",14,"3",217,16.2,9,8.4,"made",8.2,3,35,"Jump Shot","2PT Field Goal","Mid-Range","Center(C)","16-24 ft.",16,28,167,"F",81,250,28,5
"353",3,"1",278,12.3,0,5.6,"made",3.5,4,36,"Jump Shot","3PT Field Goal","Right Corner 3","Right Side(R)","24+ ft.",23,230,1,"F",81,250,28,5
"354",17,"4",50,4.4,1,5.9,"missed",6.1,0,45,"Turnaround Jump Shot","2PT Field Goal","Mid-Range","Right Side Center(RC)","16-24 ft.",18,111,146,"G",76,205,25,5
"355",15,"4",115,11.1,14,13.2,"made",3.3,1,53,"Jump Shot","2PT Field Goal","Mid-Range","Left Side Center(LC)","16-24 ft.",16,-98,127,"G",76,205,25,5
"356",11,"3",538,19.6,5,4.1,"missed",0,8,55,"Layup Shot","2PT Field Goal","Restricted Area","Center(C)","Less Than 8 ft.",1,-7,11,"G",76,205,25,5
"357",23,"4",296,7.7,17,15.8,"made",5,4,54,"Jump Shot","2PT Field Goal","Mid-Range","Right Side Center(RC)","16-24 ft.",17,94,148,"G",76,205,25,5
"358",16,"4",86,6.4,3,5.5,"missed",2.1,1,22,"Jump Shot","2PT Field Goal","Restricted Area","Center(C)","Less Than 8 ft.",3,-13,28,"G",76,205,25,5
"359",1,"1",669,21.3,3,3.9,"missed",1.3,11,6,"Layup Shot","2PT Field Goal","Restricted Area","Center(C)","Less Than 8 ft.",0,0,3,"G",71,195,27,5
"360",18,"3",392,18.1,5,5.6,"made",4.4,6,29,"Layup Shot","2PT Field Goal","Restricted Area","Center(C)","Less Than 8 ft.",0,-2,0,"G",74,181,27,5
"361",6,"3",709,12.7,1,1.7,"missed",4.5,11,46,"Jump Shot","2PT Field Goal","In The Paint (Non-RA)","Center(C)","8-16 ft.",14,-45,134,"G",72,175,27,5
"362",16,"4",474,20.1,0,1.1,"missed",6.9,7,50,"Jump Shot","3PT Field Goal","Above the Break 3","Left Side Center(LC)","24+ ft.",28,-187,214,"F",81,225,27,5
